date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Mizoram,Aizawl,796001,2,2,0
01-09-2025,Mizoram,Aizawl,796012,1,0,0
01-09-2025,Mizoram,Aizawl,796111,1,0,0
01-09-2025,Mizoram,Lawngtlai,796770,3,0,0
01-09-2025,Mizoram,Lawngtlai,796901,0,1,0
01-05-2025,Mizoram,Saiha,796911,19,25,12
01-06-2025,Mizoram,Lawngtlai,796891,119,43,11
01-07-2025,Mizoram,Lunglei,796770,83,32,20
03-09-2025,Mizoram,Aizawl,796008,0,1,0
03-09-2025,Mizoram,Aizawl,796009,1,0,0
03-09-2025,Mizoram,Saiha,796901,4,1,0
02-09-2025,Mizoram,Aizawl,796008,0,0,1
02-09-2025,Mizoram,Aizawl,796012,1,2,0
02-09-2025,Mizoram,Champhai,796320,2,0,0
02-09-2025,Mizoram,Kolasib,796070,0,1,0
02-09-2025,Mizoram,Mammit,796471,1,0,0
05-09-2025,Mizoram,Aizawl,796009,1,0,0
05-09-2025,Mizoram,Aizawl,796410,2,0,0
05-09-2025,Mizoram,Champhai,796321,2,2,0
05-09-2025,Mizoram,Serchhip,796181,3,1,0
04-09-2025,Mizoram,Aizawl,796005,0,1,0
04-09-2025,Mizoram,Aizawl,796017,5,1,0
04-09-2025,Mizoram,Champhai,796321,7,0,0
04-09-2025,Mizoram,Khawzawl,796310,1,0,0
04-09-2025,Mizoram,Lawngtlai,796901,2,0,0
07-09-2025,Mizoram,Aizawl,796009,1,1,0
07-09-2025,Mizoram,Aizawl,796012,0,1,0
08-09-2025,Mizoram,Aizawl,796009,2,0,0
08-09-2025,Mizoram,Aizawl,796014,1,2,0
08-09-2025,Mizoram,Aizawl,796025,3,0,0
08-09-2025,Mizoram,Champhai,796320,2,2,0
08-09-2025,Mizoram,Lawngtlai,796770,0,2,0
08-09-2025,Mizoram,Lawngtlai,796810,0,0,1
08-09-2025,Mizoram,Lunglei,796751,4,0,0
08-09-2025,Mizoram,Saiha,796901,2,2,0
09-09-2025,Mizoram,Aizawl,796001,4,1,0
09-09-2025,Mizoram,Aizawl,796111,0,1,0
09-09-2025,Mizoram,Aizawl,796161,3,0,0
09-09-2025,Mizoram,Champhai,796310,2,0,0
09-09-2025,Mizoram,Champhai,796321,19,8,0
10-09-2025,Mizoram,Aizawl,796001,5,0,0
10-09-2025,Mizoram,Aizawl,796005,2,0,0
10-09-2025,Mizoram,Lawngtlai,796891,10,1,0
10-09-2025,Mizoram,Lunglei,796691,1,0,0
10-09-2025,Mizoram,Mamit,796431,1,0,0
11-09-2025,Mizoram,Aizawl,796017,2,0,0
11-09-2025,Mizoram,Kolasib,796081,2,1,0
11-09-2025,Mizoram,Lawngtlai,796770,3,1,0
11-09-2025,Mizoram,Lunglei,796691,1,0,0
14-09-2025,Mizoram,Lawngtlai,796770,1,1,0
12-09-2025,Mizoram,Lawngtlai,796891,0,1,0
12-09-2025,Mizoram,Saiha,796911,0,0,1
13-09-2025,Mizoram,Aizawl,796005,1,0,0
13-09-2025,Mizoram,Aizawl,796009,0,0,1
13-09-2025,Mizoram,Aizawl,796036,1,0,0
13-09-2025,Mizoram,Champhai,796320,4,0,0
13-09-2025,Mizoram,Champhai,796321,0,2,0
15-09-2025,Mizoram,Champhai,796310,1,0,0
15-09-2025,Mizoram,Lawngtlai,796770,2,0,0
15-09-2025,Mizoram,Lunglei,796571,1,0,0
16-09-2025,Mizoram,Aizawl,796001,5,1,0
16-09-2025,Mizoram,Kolasib,796091,1,0,0
16-09-2025,Mizoram,Lunglei,796730,1,0,0
16-09-2025,Mizoram,Mamit,796501,1,0,0
